datetime,open,high,low,close,Volume,VWAP
2022-04-13,1511.5,1521.0,1511.3,1519.1,9755,1515.9894720656075
2022-04-14,1522.4,1524.5,1509.4,1511.6,9181,1519.6126021130597
2022-04-15,1511.5,1517.3,1494.3,1497.0,9855,1509.551202435312
2022-04-18,1494.0,1494.4,1472.4,1478.6,12785,1483.2151583887369
2022-04-19,1476.7,1484.5,1449.1,1453.0,10673,1476.8441956338424
2022-04-20,1456.2,1457.7,1436.5,1438.6,10918,1450.3560542223852
2022-04-21,1443.6,1451.4,1424.5,1433.0,11797,1437.575959989828
2022-04-22,1441.7,1459.2,1435.0,1444.0,11349,1449.794422416072
2022-04-25,1442.7,1445.4,1346.0,1349.6,12406,1411.492600354667
2022-04-26,1356.0,1393.0,1327.2,1389.9,12263,1365.3908179075268
2022-04-27,1379.3,1405.5,1359.2,1400.5,13920,1373.7735057471264
2022-04-28,1399.3,1406.3,1388.1,1392.6,11797,1397.1012121725862
2022-04-29,1394.9,1420.7,1390.0,1410.6,10877,1406.4605957525052
2022-05-04,1408.1,1409.9,1384.6,1385.1,11275,1397.9529046563193
2022-05-05,1391.0,1403.3,1372.8,1399.5,10873,1386.8423158281983
2022-05-06,1382.1,1396.3,1359.4,1361.9,12213,1382.5141734217639
2022-05-09,1353.1,1355.8,1301.0,1305.5,10777,1337.3240048250905
2022-05-10,1298.0,1340.9,1291.2,1336.7,11215,1316.3386714222024
2022-05-11,1334.4,1347.7,1318.4,1342.5,10722,1332.3147920164147
2022-05-12,1333.5,1334.0,1262.6,1270.9,11583,1311.3833031166366
2022-05-13,1273.7,1287.0,1216.3,1224.4,11159,1270.1087283806794
2022-05-16,1238.1,1261.2,1213.9,1215.2,10751,1245.6321458468979
2022-05-17,1219.7,1282.6,1204.9,1278.5,10120,1232.4914328063242
2022-05-18,1280.3,1304.1,1265.8,1280.2,10492,1282.799542508578
2022-05-19,1256.8,1291.7,1253.0,1283.9,9943,1273.6594086291864
2022-05-20,1283.5,1298.9,1260.0,1267.0,8546,1285.229077931196
2022-05-23,1288.2,1288.6,1238.8,1249.5,10965,1271.9482717738258
2022-05-24,1253.1,1270.5,1234.2,1265.2,9242,1254.0247349058645
2022-05-25,1274.8,1305.8,1268.7,1300.3,9611,1283.7766517531995
2022-05-26,1302.1,1310.0,1292.6,1300.7,9477,1301.7222538778094
2022-05-27,1306.5,1328.3,1305.1,1321.4,9199,1315.2215566909447
2022-05-30,1329.5,1330.4,1319.7,1325.5,8674,1324.692540926908
2022-05-31,1326.1,1326.4,1310.8,1318.7,8359,1319.5504246919488
2022-06-01,1319.0,1337.4,1316.0,1326.4,9405,1325.8344178628388
2022-06-02,1323.6,1326.6,1313.1,1316.9,3641,1321.7680307607802
2022-06-03,1317.9,1321.9,1305.8,1318.9,9311,1313.8031038556546
2022-06-06,1320.6,1331.7,1318.1,1320.2,9541,1324.85502567865
2022-06-07,1314.7,1315.5,1293.5,1309.3,11006,1303.9709249500272
2022-06-08,1320.3,1342.0,1320.0,1328.0,8683,1328.8438558102036
2022-06-09,1332.8,1338.9,1327.7,1337.0,9302,1332.6650182756396
2022-06-10,1328.3,1333.7,1316.8,1317.0,8891,1328.707906872118
2022-06-13,1284.9,1289.7,1258.1,1262.6,10287,1277.0799455623603
2022-06-14,1254.5,1272.3,1250.0,1262.4,8385,1259.5450208706022
2022-06-15,1268.2,1270.2,1235.6,1251.2,9438,1257.763752913753
2022-06-16,1260.9,1286.5,1260.8,1286.5,10632,1272.1953724604966
2022-06-17,1247.0,1248.7,1215.5,1238.4,10873,1229.142812471259
2022-06-20,1244.4,1249.4,1217.2,1224.0,10669,1236.5646546068049
2022-06-21,1216.6,1240.0,1210.5,1224.8,11375,1227.2912175824176
2022-06-22,1233.9,1240.8,1220.7,1224.2,11576,1233.3521855563235
2022-06-23,1222.1,1230.3,1216.5,1229.6,10418,1222.4028796314071
2022-06-24,1236.2,1237.8,1226.6,1227.0,9778,1234.55659644099
2022-06-27,1236.1,1245.8,1234.1,1245.0,10169,1238.6281443603107
2022-06-28,1246.1,1266.2,1242.7,1262.2,8727,1250.543840953363
2022-06-29,1255.5,1262.8,1251.1,1259.0,9904,1257.610339256866
2022-06-30,1261.9,1264.5,1246.0,1247.0,9534,1259.1193832599117
2022-07-01,1240.7,1243.4,1221.6,1239.0,10453,1233.470343442074
2022-07-04,1247.1,1252.0,1238.1,1242.2,9779,1247.3917476224563
2022-07-05,1248.4,1251.8,1234.7,1235.0,9655,1244.7790056965305
2022-07-06,1234.4,1234.4,1214.1,1214.5,10370,1227.656837029894
2022-07-07,1215.3,1225.9,1213.1,1223.8,9620,1219.3629625779624
2022-07-08,1231.0,1231.3,1223.7,1224.7,9058,1228.6153234709648
2022-07-11,1221.5,1221.8,1198.0,1199.4,9437,1214.1229734025644
2022-07-12,1202.5,1215.8,1202.2,1215.5,9586,1207.8113394533696
2022-07-13,1214.9,1220.0,1209.6,1211.8,9156,1214.385517693316
2022-07-14,1206.5,1217.3,1204.6,1216.1,8903,1209.3233292148714
2022-07-15,1218.5,1221.5,1209.5,1212.5,9246,1217.43534501406
2022-07-18,1218.1,1221.0,1212.6,1214.2,7580,1218.0408179419526
2022-07-19,1213.8,1216.2,1208.1,1212.8,7204,1212.3599528039977
2022-07-20,1223.2,1230.5,1221.4,1226.1,7946,1225.8165617920968
2022-07-21,1225.2,1241.9,1225.2,1233.6,8344,1233.4187679769893
2022-07-22,1230.4,1234.0,1223.5,1224.4,8757,1229.315895854745
2022-07-25,1222.4,1224.6,1217.2,1220.2,8926,1221.525890656509
2022-07-26,1222.7,1225.5,1217.5,1219.5,8104,1222.918324284304
2022-07-27,1216.2,1219.6,1213.1,1219.3,8966,1215.5646442114655
2022-07-28,1228.9,1237.2,1228.5,1232.1,7583,1232.7854674930766
2022-07-29,1236.6,1236.9,1229.2,1230.5,8084,1233.120620979713
2022-08-01,1232.3,1245.9,1231.1,1244.2,9434,1239.191329234683
2022-08-02,1245.0,1249.4,1238.3,1246.1,8645,1242.040913823019
2022-08-03,1245.3,1252.8,1242.4,1250.7,9602,1245.8125182253698
2022-08-04,1255.6,1259.8,1252.2,1256.7,9954,1256.1383463934096
2022-08-05,1258.9,1262.2,1254.9,1260.7,7946,1257.4313616914171
2022-08-08,1263.0,1267.5,1261.4,1267.3,8337,1264.1926832193835
2022-08-09,1265.0,1275.1,1264.7,1272.5,7980,1270.2317293233082
2022-08-10,1270.9,1273.7,1268.7,1270.6,7499,1271.5961461528204
2022-08-11,1283.0,1287.7,1269.0,1270.5,9704,1282.556636438582
2022-08-12,1267.6,1276.8,1266.4,1276.1,9205,1270.3337642585552
2022-08-15,1285.5,1294.5,1284.8,1293.7,9919,1289.9239237826393
2022-08-16,1296.5,1297.3,1291.5,1295.5,8942,1293.9351040035785
2022-08-17,1299.5,1311.2,1298.6,1310.7,9522,1304.6461562696911
2022-08-18,1307.0,1312.8,1304.7,1305.2,6981,1308.3618536026356
2022-08-19,1292.0,1292.0,1276.3,1278.2,8713,1286.6998507976587
2022-08-22,1275.1,1278.9,1270.3,1274.6,9758,1274.967882762861
2022-08-23,1265.5,1278.3,1264.4,1277.7,9151,1267.7179761774669
2022-08-24,1282.3,1287.8,1278.4,1287.5,9365,1282.805018686599
2022-08-25,1287.3,1304.3,1287.2,1302.3,10102,1293.234240744407
2022-08-26,1305.7,1305.9,1290.2,1293.3,10161,1299.5526719811041
2022-08-29,1270.3,1285.3,1264.7,1284.8,10693,1271.4142990741607
2022-08-30,1288.6,1295.6,1280.6,1289.2,11476,1289.0328860230045
2022-08-31,1282.1,1298.0,1278.0,1294.1,9412,1284.8391308967275
2022-09-05,1294.3,1298.1,1282.8,1288.3,9239,1290.6782011040157
2022-09-06,1287.9,1295.7,1286.9,1291.6,9367,1291.7599124586313
2022-09-07,1284.0,1286.4,1269.0,1269.0,10301,1282.6207746820696
2022-09-08,1269.3,1275.4,1263.4,1265.9,10325,1269.3038934624697
2022-09-09,1268.7,1273.0,1260.1,1271.3,9773,1268.0510488079403
2022-09-12,1280.6,1283.2,1275.1,1277.3,8166,1280.4407910849866
2022-09-13,1278.3,1278.7,1272.3,1277.6,8151,1276.4617715617717
2022-09-14,1251.7,1261.9,1250.0,1258.4,8504,1253.978739416745
2022-09-15,1260.6,1263.5,1256.7,1262.1,7211,1260.7408126473442
2022-09-16,1254.3,1254.3,1233.3,1233.9,7778,1249.3885831833377
2022-09-19,1238.9,1238.9,1218.0,1224.1,11450,1231.0036244541484
2022-09-20,1227.6,1235.3,1222.0,1232.5,9148,1227.4147135986009
2022-09-21,1227.3,1228.7,1213.9,1217.8,12009,1221.4893163460738
2022-09-22,1207.8,1222.3,1204.0,1220.0,10567,1209.925352512539
2022-09-23,1222.0,1223.0,1204.4,1209.7,10026,1215.6235288250548
2022-09-26,1198.6,1198.7,1173.7,1189.5,12646,1188.1895540091728
2022-09-27,1190.6,1196.0,1183.2,1187.0,9686,1190.1271835639068
2022-09-28,1173.9,1177.9,1161.7,1168.5,11993,1170.0541982823313
2022-09-29,1176.0,1176.6,1153.6,1154.0,10195,1169.8576851397743
2022-09-30,1143.3,1164.3,1137.0,1161.6,12457,1147.8749056755237
2022-10-03,1145.5,1147.0,1097.0,1104.1,11615,1126.4820146362463
2022-10-04,1112.6,1124.6,1094.5,1101.5,11178,1112.3046251565574
2022-10-05,1113.3,1133.9,1113.3,1121.1,10906,1122.2019897304237
2022-10-06,1118.2,1119.0,1080.2,1083.0,10804,1102.472389855609
2022-10-07,1066.5,1066.5,1025.5,1030.0,11431,1042.8491470562506
2022-10-10,1010.9,1049.7,1008.2,1040.0,12760,1029.7951645768026
2022-10-11,1024.5,1026.5,980.0,985.2,11801,1003.9123040420303
2022-10-12,996.8,1038.9,995.1,1020.3,11394,1022.8376952782165
2022-10-13,1027.8,1028.7,1004.6,1027.0,11461,1017.6350754733444
2022-10-14,1061.9,1063.8,1044.2,1052.4,9871,1053.6495289231082
2022-10-17,1035.8,1040.7,1017.4,1038.9,9555,1027.5415279958138
2022-10-18,1055.7,1069.4,1049.2,1051.3,9077,1060.1533766662994
2022-10-19,1058.9,1059.0,1045.9,1055.5,8994,1051.429386257505
2022-10-20,1044.8,1059.3,1040.0,1058.0,8574,1051.1388733379986
2022-10-21,1038.0,1038.3,982.6,988.7,9951,1008.4555622550498
2022-10-24,996.0,996.0,931.0,950.0,11482,969.7425187249607
2022-10-25,939.3,984.6,933.0,954.9,9988,957.7679415298358
2022-10-26,968.9,976.4,955.3,968.3,10436,964.7109524722116
2022-10-27,976.5,1022.0,972.5,1021.4,10087,992.6587885397045
2022-10-28,1027.4,1036.8,1013.6,1021.5,9213,1025.0414631498968
2022-10-31,1022.2,1025.5,984.5,1014.0,10810,1001.2433302497687
2022-11-01,1031.5,1046.6,1022.1,1023.9,10241,1036.1265013182306
